[MW-READER] Gap at 2025-10-06T18:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-10T07:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-11T09:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T10:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T22:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T22:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:27:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:33:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:42:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-12T23:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:05:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:09:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:45:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T00:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:13:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:47:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:53:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T01:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T02:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T02:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T02:35:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T02:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T02:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:00:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:43:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T03:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:06:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:37:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:53:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T04:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T05:18:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T05:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T05:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T05:47:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T05:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T06:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T07:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T07:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T07:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T07:53:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T07:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:33:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T08:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T09:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T09:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T09:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T09:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:18:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:55:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T10:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:27:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T11:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T12:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T12:26:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T12:45:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T12:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T13:05:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T13:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T13:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T14:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T14:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T14:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T14:55:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T15:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T15:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T15:43:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T15:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T15:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T16:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:10:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:00:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:16:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:13:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:24:00.000Z: no bar data available, skipped
